Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	S1(MeanNum)	S2(MeanNum)	S3(MeanNum)	VarS1	VarS2	VarS3	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
45.099022	69	2445	2377	0	82.942032	0.000000	61.358959	0.000000	6.275362	6.173913	0.000000	0.000000	219.913025	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	68	68	1	1	1	1803	1	3569	69	0	0	0	0	0	0	0	0	0	0
46.100845	59	2507	2449	0	84.016953	0.000000	58.220066	0.000000	6.508474	5.983051	0.033898	0.000000	202.983032	3.932205	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	59	59	1	1	1	1850	1	3665	59	0	0	0	0	0	0	0	0	0	0
47.101753	66	2565	2500	0	84.696968	0.000000	54.877872	0.000000	6.757576	6.090909	0.000000	0.000000	271.454559	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	65	65	1	1	1	1895	1	3749	66	0	0	0	0	0	0	0	0	0	0
48.102211	96	2657	2562	0	89.177086	0.000000	44.083233	0.000000	6.916667	5.916667	0.000000	0.000000	441.333466	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	95	95	1	1	1	1992	1	3895	96	0	0	0	0	0	0	0	0	0	0
49.105083	98	2755	2658	0	91.142860	0.000000	42.142872	0.000000	7.204082	6.112245	0.010204	0.000000	409.765350	0.989796	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	95	95	1	1	1	2059	1	4035	98	0	0	0	0	0	0	0	0	0	0
50.108288	126	2856	2731	0	93.730156	0.000000	48.752579	0.000000	7.150794	6.428571	0.007937	0.000000	484.857208	0.992065	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	126	126	1	1	1	2161	1	4194	126	0	0	0	0	0	0	0	0	0	0
51.108803	142	2993	2852	0	95.253525	0.000000	53.485027	0.000000	6.788733	6.950704	0.000000	0.000000	656.654907	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	137	137	1	1	1	2255	1	4386	142	0	0	0	0	0	0	0	0	0	0
52.116283	161	3127	2967	0	96.832298	0.000000	47.630283	0.000000	7.173913	6.993789	0.000000	0.000000	696.993958	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	151	151	1	1	1	2365	1	4578	161	0	0	0	0	0	0	0	0	0	0
53.118362	168	3296	3129	0	97.904762	0.000000	58.467094	0.000000	7.815476	7.065476	0.000000	0.000000	746.279724	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	161	161	1	1	1	2476	1	4812	168	0	0	0	0	0	0	0	0	0	0
54.119915	188	3491	3304	0	99.335106	0.000000	61.041965	0.000000	7.888298	7.122340	0.000000	0.000000	916.186157	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	184	184	1	1	1	2642	1	5109	188	0	0	0	0	0	0	0	0	0	0
55.121227	187	3662	3476	0	101.283424	0.000000	64.235168	0.000000	8.149733	6.962567	0.000000	0.000000	820.737854	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	186	186	1	1	1	2775	1	5377	187	0	0	0	0	0	0	0	0	0	0
56.121586	209	3868	3660	0	101.665070	0.000000	62.452427	0.000000	8.430622	7.330143	0.009569	0.000000	898.220093	3.980860	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	205	205	1	1	1	2925	1	5677	209	0	0	0	0	0	0	0	0	0	0
57.121662	242	4137	3896	0	104.814049	0.000000	68.853882	0.000000	8.661157	7.541322	0.020661	0.000000	1048.087036	12.896698	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	235	235	1	1	1	3142	1	6058	242	0	0	0	0	0	0	0	0	0	0
58.122734	239	4376	4138	0	107.866112	0.000000	77.078323	0.000000	9.276151	7.518828	0.000000	0.000000	997.663757	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	233	233	1	1	1	3314	1	6400	239	0	0	0	0	0	0	0	0	0	0
