Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	S1Mutations	S2Mutations	S3Mutations	BirthRate	MigrationRate	OriginTime	Descendants
1	22498	22820	1030	8	0	0	466	183	173	118	4.808388	0.000088	19.966200	1
0	22202	22822	799	10	0	1	464	162	179	133	5.409605	0.000088	19.967127	2
1	22669	22824	628	7	0	0	480	179	176	132	4.674664	0.000088	19.968048	1
1	22704	22826	1006	10	0	0	490	206	174	120	5.309497	0.000088	19.968084	1
1	22060	22828	960	9	0	0	426	160	154	121	5.180645	0.000088	19.968119	1
0	22376	22830	830	8	0	1	502	170	191	149	5.212936	0.000088	19.968182	3
1	22489	22832	656	9	0	0	474	190	169	124	3.371029	0.000088	19.968447	1
1	21447	22834	809	8	0	0	464	170	177	125	5.092616	0.000088	19.968578	1
1	21548	22835	954	8	0	0	439	181	157	109	4.783589	0.000088	19.968624	1
1	21548	22836	954	8	0	0	445	184	156	113	4.783589	0.000088	19.968624	1
1	22217	22838	922	11	0	0	465	166	176	134	5.581295	0.000088	19.968895	1
1	22104	22840	775	7	0	0	427	163	167	104	3.180935	0.000088	19.969585	1
1	22100	22842	995	11	0	0	478	168	175	146	5.473745	0.000088	19.970081	1
1	21656	22844	628	7	0	0	455	176	163	123	4.674664	0.000088	19.970592	1
1	22822	22846	799	10	0	0	467	162	180	135	5.409605	0.000088	19.971535	1
1	22068	22848	805	10	0	0	496	190	177	139	3.520433	0.000088	19.971701	1
1	22364	22850	628	7	0	0	424	157	152	122	4.674664	0.000088	19.972639	1
1	22583	22852	628	7	0	0	455	174	165	123	4.674664	0.000088	19.972700	1
1	20988	22854	633	9	0	0	483	186	179	127	3.761056	0.000088	19.973446	1
1	22872	22939	1036	11	0	0	499	213	177	120	5.343193	0.000088	19.989321	1
1	22775	22858	956	8	0	0	458	171	167	128	4.792529	0.000088	19.973646	1
1	21969	22860	809	8	0	0	453	170	167	124	5.092616	0.000088	19.973698	1
1	22571	22862	725	9	0	0	446	162	164	129	5.123222	0.000088	19.973898	1
1	22772	22864	628	7	0	0	481	182	172	134	4.674664	0.000088	19.973986	1
1	20703	22866	628	7	0	0	430	170	158	109	4.674664	0.000088	19.974710	1
0	21835	22868	633	9	0	1	509	198	190	130	3.761056	0.000088	19.974934	2
1	22031	22941	358	8	0	0	457	177	158	130	3.365728	0.000088	19.989607	1
0	22705	22872	1006	10	0	1	493	209	175	119	5.309497	0.000088	19.975765	2
0	22106	22874	825	10	0	1	521	199	190	142	3.849407	0.000088	19.976294	2
1	22564	22876	628	7	0	0	436	171	162	110	4.674664	0.000088	19.976500	1
0	22567	22878	628	7	0	1	456	185	159	119	4.674664	0.000088	19.976650	2
1	21998	22880	830	8	0	0	483	171	177	143	5.212936	0.000088	19.977034	1
1	21678	22882	975	7	0	0	371	143	152	83	2.789524	0.000088	19.977695	1
1	22694	22884	358	8	0	0	425	170	143	120	3.365728	0.000088	19.977961	1
1	22830	22885	830	8	0	0	509	171	197	149	5.212936	0.000088	19.978655	1
0	22830	22886	830	8	0	1	507	173	192	150	5.212936	0.000088	19.978655	2
1	22886	22888	830	8	0	0	516	176	198	150	5.212936	0.000088	19.981401	1
1	22853	22890	633	9	0	0	495	191	185	128	3.761056	0.000088	19.981701	1
